hash	Comment	brand	isTaken	name	number	paypal	physical	price	snipit	url
9019705997aebf8b91d46f6b9d0e97cd1ace3933		Amazon	2024-12-02T15:56:35.482	Squishmallows Shasta	1	true	false	22.00	https://screenshot.googleplex.com/9N422J5YC97UiNr	https://www.amazon.de/Squishmallows-SQCR05426-offizielles-superweiches-Kuscheltier/dp/B0CNY3NNBT?pd_rd_w=Zhb92&content-id=amzn1.sym.e5dbb0fd-6936-4959-a333-4001219ba88e&pf_rd_p=e5dbb0fd-6936-4959-a333-4001219ba88e&pf_rd_r=4NGH7KVZ9AW6T1GYWB7K&pd_rd_wg=Rb6fU&pd_rd_r=7bd029b0-4cdb-491a-bbd1-006080ef6716&ref_=sspa_dk_detail_img_1&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1
95d66238df00bacb95bdf34232bb9e06ddf71cdb		Decathlon	2024-12-02T16:14:35.580	RDX Sports	1	true	false	38.99	https://screenshot.googleplex.com/ApkDxSmXRGHfDeB	https://www.decathlon.de/p/mp/rdx-sports/rdx-boxhandschuhe-fuer-kinder/_/R-p-ebdd9bed-0ceb-448c-9f37-a4abba9f83bd?mc=ebdd9bed-0ceb-448c-9f37-a4abba9f83bd_c1c4c1
96f3809909805c6da395a0ecfc3bb393126a1598		Amazon	2024-11-26T16:59:06.662	Barbie Mermaid	1	false	true	34.99	https://screenshot.googleplex.com/8vSxPvD2SjkZ4AS	https://www.amazon.de/Barbie-HDJ36-wasseraktivierter-Leuchtfunktion-Jahren/dp/B09BW2RTN8/ref=pd_bxgy_thbs_d_sccl_1/258-3479120-4969848?pd_rd_w=brnyO&content-id=amzn1.sym.5eda1a26-aae5-46aa-95ea-198f43dc011e&pf_rd_p=5eda1a26-aae5-46aa-95ea-198f43dc011e&pf_rd_r=CQ0RCMKW1404F2PXTSSY&pd_rd_wg=aX4vn&pd_rd_r=37305a87-3f09-4ec6-9420-57c9c41dfd97&pd_rd_i=B09BW2RTN8&psc=1
978adccef00a54b5f8d3bed77cbc8a82beccb911		Amazon	2024-12-02T16:42:46.391	New Era Basecap Grey	1	true	false	22.00	https://screenshot.googleplex.com/4euo5owxwThSArK	https://www.amazon.de/New-Era-Flawless-Basic-11198849/dp/B0141D0UMY/ref=sr_1_8?dib=eyJ2IjoiMSJ9._-GTOXGyWkXAPnHn3ahmUGyFRIe7XOktQ_iILXDlVmDsLJdeSLUtbgAAWa1sZpRMu6s1ajfFkQi3KS6dMXis3MkB9R_PsR47aaa3mqy3EDWQx24UpIp403SxEjDYGSKGrqyieLorEb93grwgNsK0eQsu1baN5aMCKkZVkpLdwOzIj8SHtt33sDNeRzSmj2CfcUJGfv9HjS2RaDUWuHyY8ObTm3j-OCcQenflOeSqhWLnvSdrQR2XBZqiWY_ip2fuKKG9rEJbBIe6sWQsXScCeCpY9QBrqsJOS-EHnNKRpfc.pnTyfplfhV4aQybUNS5YYtBquun-RviuNJ1MBpwlQlg&dib_tag=se&keywords=cape+nike&nsdOptOutParam=true&qid=1731612627&sr=8-8
97947d5349eb113987b5b6aa40c47c4b3e20b0e0		Amazon	2024-12-01T22:32:35.751	Mini Squishy Dinos	1	false	false	24.99	https://screenshot.googleplex.com/8huMDTapi97gPPr	https://www.amazon.de/dp/B0C74DLQ8M/ref=sspa_dk_detail_0?pd_rd_i=B0C74DLQ8M&pd_rd_w=3SbyZ&content-id=amzn1.sym.6ffc9ff7-fa31-49da-8594-196e74bcf61e&pf_rd_p=6ffc9ff7-fa31-49da-8594-196e74bcf61e&pf_rd_r=VS9F7JPFA858K44JJWJZ&pd_rd_wg=yW6ty&pd_rd_r=46595198-0086-4920-929c-7fd6240bd693&s=toys&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1
99820b5c1a9c09ddc8d60452b8e0f6319078071b		Amazon	2024-11-25T20:17:51.855	Baby Doll Clothing	1	false	false	19.99	https://screenshot.googleplex.com/6GXD7tDXz9MZHL9	https://www.amazon.de/dp/B0DD6Y2J6B/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0DD6Y2J6B&pd_rd_w=RFPft&content-id=amzn1.sym.6ffc9ff7-fa31-49da-8594-196e74bcf61e&pf_rd_p=6ffc9ff7-fa31-49da-8594-196e74bcf61e&pf_rd_r=QKX5JHTWDKZ4WNDVD70F&pd_rd_wg=mPZau&pd_rd_r=b1095d87-ca0e-4372-8dc1-ce3728a3b1c2&s=toys&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw
9a219a5feda1d495ee2ce29abee39e48684703da		Amazon	2024-11-25T20:00:42.067	Baby Doll Clothing	1	false	false	14.99	https://screenshot.googleplex.com/8uj3vBCe3xiPtxv	https://www.amazon.de/Kleidung-Bekleidung-Outfits-Puppen-35-43/dp/B09PB98MC1/ref=sr_1_10?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2I52RGJQE6JBA&dib=eyJ2IjoiMSJ9.4lyLH8Lnumpq0EKhJmj2R69D_GZDsPCioqkMW7v97XB9tEGgmieCWEgxJ-uDofhOi_AASQjfPatOGNu4Ilo1BnKaN8WXTQujryJobGVJC9vGDDKb9q63ryNTeGKEE6vgNHwCvSMeSHFebEPwK_x3ZNHbKP_Au54bD60FuLwJt7MZY0xMvun_-v10tN-k5cQ_O1tofFu3gfgcIMICkTPlF4fPfJcfchxSTtzwoWMYlncF6MvMb45aMI64h6QaW9yuJ9agb2bPM_MvgO0ZjzGnfCnQR1Z-yXcLTBZ11Jcow-8.gBNVCLaIqWiSdpp6r9g_f8AWQDu2jmW0Q7WdmCT5cuc&dib_tag=se&keywords=puppen%2Bkleidung&qid=1731611029&s=toys&sprefix=puppen%2Bkleidung%2Ctoys%2C111&sr=1-10&th=1
9fbc04ea0b9e5206d7a9ad564e0fd643d73349e4		Amazon	2024-12-03T09:18:24.003	Squishmallows Trenton	1	true	false	22.22	https://screenshot.googleplex.com/6GcFvYVHZD7cwsh	https://www.amazon.de/Squishmallows-SQCR05426-offizielles-superweiches-Kuscheltier/dp/B0CNY538JP?pd_rd_w=Zhb92&content-id=amzn1.sym.e5dbb0fd-6936-4959-a333-4001219ba88e&pf_rd_p=e5dbb0fd-6936-4959-a333-4001219ba88e&pf_rd_r=4NGH7KVZ9AW6T1GYWB7K&pd_rd_wg=Rb6fU&pd_rd_r=7bd029b0-4cdb-491a-bbd1-006080ef6716&ref_=sspa_dk_detail_img_1&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1
a047323d1319027efa4f4b0b9f4cd189b4d77dc7		Amazon	2024-12-03T13:27:29.238	Edurino Figurine Skunk	1	false	false	24.99	https://screenshot.googleplex.com/4LhFf3H7KbzpbSM	https://www.amazon.de/Edurino-Innovatives-digitales-Zahlenverst%C3%A4ndnis-Minusrechnen/dp/B0CT8Z2KMH
a05391449b1352ce79cb9746de35117ab579377b			2024-11-25T13:46:07.175	Top model Pencil Case	1	true	true	36.67	https://screenshot.googleplex.com/7mVNLFCT6Ek8kA5	https://www.amazon.de/Depesche-12775-TOPModel-Fairy-Love/dp/B0CVN74RQB/ref=sr_1_7?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3S2Q4IKRC6BRO&dib=eyJ2IjoiMSJ9.wIdoX5SFhRfw7XOHlP4-_NJzu3JuaY347Up1HUE3z2lLiteE7xhXDP4C6fnEQZ6i65Yv5k1guE0z-XC1GbYpy3qkal5P7fpmDyNmkL8QvAiHg39zUCf1ESVKP7CPxGExOz9RsuIsT7QHm8ep7CzZURbvzt4KElmjSAD1WZKxDZxGj0CLQdEK45xVepUEikMLkxCoU_Sl6joU4gKRMosHP75AaAJL1anU45XqvBlVWWYnU6gUQRp9yDBpVOJis4LZ4hAf07AXAjpQG9v_pqTgNSOtXg-ypNXLjbTmr3elvCA.KGCUBUKJfIsrdsIIkEEtLkbnZ5KxBhv4vudLNebZ_VQ&dib_tag=se&keywords=top+model+federm%C3%A4ppchen&nsdOptOutParam=true&qid=1731609755&sprefix=top+model+federm%C3%A4ppchen%2Caps%2C122&sr=8-7
a06707371db39383eb3717f17b0d995538a09291		Amazon	2024-12-04T10:56:39.963	Beyblade Arena	1	false	true	22.99	https://screenshot.googleplex.com/BxkWUWpLatp73jD	https://www.amazon.de/CRAZE-Blade-Kampfkreisel-Evolution-Spielzeug/dp/B0BJWWZZSS/ref=sr_1_1_sspa?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2MGT0EE0MYL61&dib=eyJ2IjoiMSJ9.Pb44-jejIL4v5JjFZJxS5ux-U8SYTEi9ni9VQ-ZuH1ZedfXJaib2Y5CUzs0QKIsN7CZXBubD1hSsm0afvZo2NoXYYSINgXKcLhEctfntipK6x4yC-hug1dh_irquv2aHlYp_UpyRXXd0CIC1HnSly2qfOEGw70T8Q-OhYEfNY6Ee9xJK0llv0tbGOKFJ9tANl1lFxf3MhXYzQZLyiK8oZMSyx053cr4r0MQPNpkqsubl0l_e7j9iJeiiiA6l9-7MQAh-Xp6sKuUI82kXu9Sj_qHrnk7U7UrdKEQBrnv31k0.gcL_LxKi29H4cSIpctL_IBlEzWAhsbjRXhMjU_ZLAJ0&dib_tag=se&keywords=beyblade&qid=1731613385&s=toys&sprefix=bexblade%2Ctoys%2C120&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
a12d51f132944b7214d5210e7aded04833824127		Amazon	2024-11-25T13:15:01.016	Movement Game	1	true	false	21.99	https://screenshot.googleplex.com/9rMn95qieBNsZP5	https://www.amazon.de/Toys-Bewegungsspiele-verschiedene-Kindergeburtstage-mehrfarbige/dp/B019Z4J10G/ref=sr_1_27_sspa?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2WZJHQ7VVWZKM&dib=eyJ2IjoiMSJ9.nrumd26no43ShQdbmjQ_I9CvxuVb_8fs-usLync8ggvCuYM0BYIsfxB9bhVplP1CLHxbQiC6uCtoaZj7LYssLilQflpGgBsdgb7lj_1HV96VMzEOuUGXag1oTk8pxHj1gHoWZjZwAUaXJpfwhhSo4Bq7AS14MOmERwQYSVrKZrAqnE-YfILnoC1ZQLdCOb1pKusHYiaVzUhQgI2e1pLXISQnDbY_6QLWnRBS3obdRWY1dzOVlTMhtDrXORjj2Dpazh3N6pgsJ_siTwORz7ffXfdy9PxmdCATfVhZm8Qs6Tk.0qoIpoT6hvdMQ1xaVee2bfuTNFLcPvGby773cFSnv6M&dib_tag=se&keywords=die+magischen+schl%C3%BCssel+spiel&nsdOptOutParam=true&qid=1731614787&s=toys&sprefix=die+magischen+schl%C3%BCssel+spiel%2Ctoys%2C96&sr=1-27-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
